,DC,EC
0,Abtreibung,ernstes Gesundheitsproblem
1,Religion,Anwendung des Konzepts
2,Impfung,Impfungsstrategie
3,Technologie,Arten
4,Globalisierung,politische soziale und wirtschaftliche Veränderungen
5,Internet,Technologie
6,Prostitution,Verwaltungsvergehen
7,Abtreibung,kontroverses Thema
8,Internet,Ort
9,Internet,Kanäle
10,Religion,wichtiger Bestandteil der Identität
11,Todesstrafe,sehr heikles Thema
12,Kapitalismus,konzeptionelle Form des Kapitalismus
13,Internet,mächtiger Kanal
14,Kunst,Themen
15,Steuer,Art
16,Prostitution,administrative Straftat
17,Religion,ungeteilte und nicht zu trennende Religion
18,Impfstoff,von Sanaria entwickelter Kandidat
19,Monopol,Marktstruktur
20,Gesundheitswesen,wichtiges Thema
21,Religion,Wissensfelder
22,Impfung,öffentliches Gut
23,Kapitalismus,umfassendere Form dieser Marktwirtschaft
24,Impfung,aktive Form der Immunisierung
25,Kunst,variabler Begriff
26,Kunst,wichtiger Bestandteil des menschlichen Lebens
27,DNA,Methode der nichtinvasiven Vornataldiagnose
28,Gesundheitsversorgung,spezielle Pflegepraxis
29,Technologie,zuverlässige und kostengünstige Technik
30,Globalisierung,geschlechtsspezifischer Prozess
31,Demokratie,Form der sozialen Organisation
32,Steuer,finanzielle Abgabe
33,Impfstoff,Person
34,Gesundheitsversorgung,breit angelegtes Konzept
35,Demokratie,Begriff der direkten Demokratie
36,DNA,wesentliche Strukturkomponente vieler verschiedener mikrobieller Biofilme
37,Steuer,aggressive Steuer
38,Todesstrafe,hartes Menschenrechtsprinzip
39,künstliche Intelligenz,moderne digitale Werkzeuge
40,Sport,Trainer
41,Impfstoff,Kombinations Impfstoff
42,Kapitalismus,begehrter Bereich
43,DNA,Informationsspeicher Makromolekül
44,Monopol,Art
45,Religion,starker Einfluss
46,Waffenkontrolle,Begriff
47,Technologie,Arbeitsplatzfragen
48,Religion,Zwecke
49,Demokratie,Form der delegativen Demokratie
50,Impfstoff,Klasse
51,Prostitution,Sexarbeit
52,Fettleibigkeit,medizinischer Zustand
53,Kapitalismus,Kapitalmarkt
54,Steuer,Strafsteuer
55,Religion,Kraft
56,Religion,kontroverses und kompliziertes Subjekt
57,Rauchen,führende Todesursache
58,Waffenkontrolle,weitaus größeres Problem
59,Gesundheitsversorgung,heterogene Institution
60,Technologie,Tanzmusikstile
61,Technologie,großes Problem
62,Sport,Nischen
63,Internet,regionale
64,Religion,direktes Ergebnis des Versuches
65,Rauchen,rauchlose Methoden
66,Sport,organisierte oder unorganisierte Erholung
67,Kunst,künstlerische Arbeit
68,Steuer,Schätzung des gesamten steuerpflichtigen Einkommens
69,Kapitalismus,starke Rolle
70,Abtreibung,Themen
71,Globalisierung,Bewegung
72,Monopol,Organisation
73,Medikament,synthetisches Prostaglandin
74,Sport,Spiel der Fähigkeit
75,Prostitution,illegale Geschäfte
76,Steuer,spezielle Steuerart
77,Drogen,Versorgungen
78,Fettleibigkeit,dietbedingte Krankheiten
79,Gesundheitsversorgung,abgeleitete Nachfrage
80,Abtreibung,medizinische Abtreibung
81,Internet,Netzwerk
82,Atombombe,zeitgenössisches Geschichtsbuch des amerikanischen Journalisten
83,Kunst,besonders gutes Beispiel
84,Religion,breite Palette
85,Rauchen,sozialer Standard
86,Gesundheitsversorgung,soziale Dienstleistungen
87,Impfstoff,COVID19 Impfstoff
88,Internet,potenzieller Angriffsvektor
89,Technologie,Standard
90,Prostitution,Tätigkeiten
91,Monopol,Struktur
92,Impfstoff,Art
93,Demokratie,Art Demokratie
94,Demokratie,Verfahrensdemokratie
95,Religion,einheitliches Glaubens
96,Rauchen,Drogenkonsum
97,Sport,Verwendungen
98,Kryptowährung,Knoten
99,Rauchen,weiterer Faktor
100,Prostitution,Problem
101,Todesstrafe,gesetzliche Sanktion
102,Technologie,Einfluss
103,Sport,Veranstaltungen
104,Prostitution,ausbeuterische Praxis
105,DNA,Polynukleotide
106,Demokratie,System
107,Monopol,isolierte magnetische Ladung
108,Demokratie,alte griechische Stadtstaaten
109,soziale Medien,Möglichkeiten
110,Demokratie,Phase der Demokratie
111,Religion,modernes westliches Konzept
112,Sport,wichtiger Teil der isländischen Kultur
113,Sport,wichtiger Teil der pakistanischen Kultur
114,Steuer,Arbeitsbelange
115,Internet,Kommunikationsmethoden
116,Kapitalismus,Wirkung der Regierung
117,Internet,Pakete
118,Atombombe,Essays
119,DNA,relativ seltene linke Doppelhelix
120,Gesundheitsversorgung,typische Methode
121,Todesstrafe,rechtliche Sanktion
122,Religion,Synretismus der indigenen und katholischen Überzeugungen
123,Kunst,allgemeine Begriffsbestimmung
124,Religion,System
125,Mindestlohn,fortschrittliche Ideen
126,Steuer,Vorteile
127,Gesundheitsversorgung,wichtiger Indikator
128,Klimawandel,existentielles Risiko
129,Internet,weitere Kritikquelle des Talmud
130,Steuer,regressive Steuer
131,Technologie,homogene Belegschaft
132,Gesundheitsversorgung,ernstes Problem
133,Technologie,kreativer Prozess
134,Kryptowährung,digitale Währung
135,Impfstoff,Mischung lebender geschwächter Viren
136,Monopol,Unternehmen
137,Internet,Kommunikationstechnologien
138,DNA,wichtiges Ziel der zeitgenössischen Genomforschung
139,Kunst,Reihe
140,Technologie,Prozess dieser Arbeit
141,Technologie,immer wachsende und fortschrittliche Industrie
142,Internet,Gästebuch
143,Steuer,Währungstransaktionssteuer
144,Internet,Mittel
145,Internet,Telekommunikationsdienste
146,Rauchen,Prozesse
147,Technologie,dynamische Einheit
148,Technologie,Technologie
149,Gesundheitsversorgung,entscheidender Teil des Übergangs
150,Gesundheitswesen,wichtiger Bestandteil der Gesundheitssysteme
151,Klimawandel,positive Rückkopplungsschleife
152,Religion,gemeinschaftliche keine individuelle Wahl
153,Gesundheitsversorgung,technische Herausforderung
154,Sport,neuseeländischer Sport Streaming Service
155,Klimawandel,Formen der Umweltzerstörung
156,Kunst,Körper
157,Flüchtlinge,Einwanderer
158,Technologie,sehr einfache Form der frei Raumoptischen Kommunikation
159,Demokratie,Vereinbarung
160,Rauchen,großer Teil
161,Patriotismus,Form des Patriotismus
162,Sport,gefährliche
163,Kapitalismus,inhaltlicher Bereich
164,Sport,Bus
165,Prostitution,Karriereoption
166,Drogen,Mittel
167,Abtreibung,weitere wichtige Ursache
168,Rauchen,Hauptursache
169,Smartphone,Smartphone
170,Sport,Echtzeit Informationen
171,Steuer,Instrument
172,Religion,schlechter moralischer Führer
173,Todesstrafe,Voraussetzung
174,Internet,unvergleichliche Erfolgsgeschichte
175,Technologie,Analyse der negativen Auswirkungen
176,Atomwaffen,Massenvernichtungswaffen
177,Internet,Informations
178,Technologie,System
179,Prostitution,harte Notwendigkeit
180,Abtreibung,großes Phänomen
181,Sport,Vergnügungen
182,Klimawandel,natürliches Ereignis
183,Demokratie,interdisziplinärer Zweig der öffentlichen Wahl
184,Kunst,Einrichtung
185,Monopol,System
186,DNA,Funktionen
187,Demokratie,Art
188,Technologie,Tiefschneidwerkzeug
189,Rauchen,primäres Ziel
190,Internet,Schlüsselressource
191,Abtreibung,unvollständige Abtreibung
192,Euthanasie,vernünftige Wahl
193,Steuer,Form der Verschmutzungssteuer
194,Drogen,Lieferungen
195,Technologie,Produkten
196,Patriotismus,Mangel
197,Kunst,physikalisches zwei oder dreidimensionales Objekt
198,Impfstoff,diese Art
199,Religion,langer Versuch
200,Gesundheitsversorgung,politische Initiativen
201,Kunst,unterschätzter Beitrag
202,Demokratie,von dem israelischen Historiker Jacob Leib Talmon populärer Begriff
203,Technologie,Periode stabiler und vergüteter Einkünfte
204,Kunst,Polemik des Materialismus
205,Klimawandel,globale Herausforderung
206,Technologie,integraler Bestandteil mehrerer Pläne
207,Flüchtlinge,Migranten
208,Klimawandel,internationales Umweltabkommen
209,DNA,Impfstoffe
210,Monopol,Preisträger
211,Kapitalismus,Begriff
212,Abtreibung,Hauptursache
213,Todesstrafe,rechtliche Form der Strafe
214,Steuer,wesentlicher Bestandteil der makroökonomischen Politik
215,Kunst,sehr subtile manchmal auch symbolische Ausdrucksform
216,Abtreibung,selten angewandte Methode
217,Kunst,wichtiger Bestandteil
218,Kunst,Aktivitäten
219,Prostitution,Unternehmen
220,Abtreibung,führende Ursache
221,Steuer,Steuersystem
222,soziale Medien,Anwendungen
223,Klimawandel,Umweltprobleme
224,Religion,Demografie
225,Todesstrafe,Methode
226,Prostitution,sexuelle Missbrauch
227,Religion,Mittel
228,Technologie,Gründe
229,Steuer,Regierungsabgabe
230,Steuer,obligatorische Finanzgebühr
231,DNA,Molekül
232,Abtreibung,Thema der Kontroversen
233,Demokratie,Theorie der Bürgerinnen
234,Smartphone,bestimmte Art
235,Technologie,Medien
236,Klimawandel,Herausforderung
237,soziale Medien,neue Werbekanäle
238,Rauchen,etablierter Risikofaktor
239,Internet,Netzwerken
240,Religion,archaischer Ableger der indoeuropäischen Religion
241,DNA,Beweise
242,Klimawandel,komplexes globales Problem
243,Gesundheitsversorgung,Form der Gesundheitsfinanzierung
244,Sport,Gelände der streitigen Geschlechtsbeziehungen
245,Klimawandel,Thema
246,Demokratie,Mix
247,Gesundheitsversorgung,knappe Ressource
248,Demokratie,Begriff
249,Internet,globales Netzwerk
250,DNA,langes Polymer
251,Impfstoff,antigene Zubereitung
252,Elektroauto,Auto
253,Abtreibung,moralisches Recht
254,Demokratie,Selbstverteidigung
255,Kunst,direkte Folge der semantischen Mehrdeutigkeit
256,Prostitution,beliebtes Thema
257,Religion,Ausdruck unseres kollektiven Bewusstseins
258,Impfstoff,replikationsdefizitärer Simian Adenovirus Vektor
259,Abtreibung,weitere Hauptursache
260,Technologie,neuer Wandel
261,Klimawandel,tribale Religion
262,DNA,zentraler Teil der Molekularbiologie
263,Abtreibung,ernste Angelegenheit
264,Prostitution,wichtiges Thema
265,Religion,Variante der chinesischen Volksreligation
266,Technologie,sehr schonender Prozess
267,Sport,Freizeitaktivitäten
268,Technologie,Art
269,Klimawandel,Bedrohungen
270,DNA,Kette
271,Kunst,grundlegende künstlerische Haltung
272,Globalisierung,soziale Bewegung
273,Internet,wachsende moderne Form der Terrorismusfinanzierung
274,Medikament,andere chemische Substanz
275,Technologie,wichtige Quelle des sozialen Wandels
276,Rauchen,Tabakkonsum
277,Internet,Formen der Zensur
278,Globalisierung,vielfältiges Phänomen
279,Flüchtlinge,Betroffene
280,Technologie,direkter Faktor
281,DNA,langes Biopolymer
282,Impfstoff,experimenteller Impfstoff
283,Rauchen,integraler Bestandteil der vietnamesischen Kultur
284,Prostitution,freie Wahl
285,künstliche Intelligenz,Technologien
286,Drogen,Misserfolg
287,Prostitution,Gesetzesänderungsgesetz
288,DNA,Nukleinsäure
289,Kapitalismus,politische Philosophie
290,Internet,globale öffentliche Ressource
291,Steuer,Mischung
292,Sport,wichtige Form
293,Demokratie,repräsentative Demokratie
294,Religion,Bewegung
295,Religion,kulturelles System
296,Internet,elektronische Signale
297,Kunst,kulturelle Elemente
298,Prostitution,Straftat des dritten Grades
299,Prostitution,andere Gesetzesänderungen
300,DNA,autosomale DNAs
301,Kryptowährung,Form der digitalen oder virtuellen Währung
302,Kapitalismus,Feinde
303,Internet,globaler öffentlicher Raum
304,Impfstoff,biologische Zubereitung
305,Gleichstellung der Geschlechter,Ermutigung
306,Kunst,kollektiver Begriff
307,Abtreibung,chirurgisches Verfahren
308,Impfstoff,Initiativen
309,Internet,integraler Bestandteil des Lebens
310,Demokratie,politische Ideologie
311,Impfung,günstige und effektive Möglichkeit
312,Internet,relativ neues Phänomen
313,Drogen,Substanzen
314,Gesundheitsversorgung,Rechte
315,Impfstoff,inaktivierter Poliovirus Impfstoff
316,Kunst,Fahrzeug
317,Monopol,Monopol
318,Kunst,Objekte
319,Klimawandel,positives Klima Feedback
320,Prostitution,große soziale Frage
321,Prostitution,Prostitution
322,DNA,gemeinsame Methode der Gensilencing
323,Demokratie,Gelegenheit
324,Sport,wettbewerbsfähiger Kontaktsport
325,Sport,umstrittenes Thema
326,Kunst,Formen des kulturellen Ausdrucks
327,Technologie,Elemente der Kultur
328,Smartphone,Geräte
329,Patriotismus,Entwicklung des früheren Begriffs
330,Religion,wichtiger Moment
331,Internet,globales System vernetzter Computernetze
332,Religion,komplexes und problematisches modernes westliches Konzept
333,Demokratie,Instrument
334,Sport,Sport
335,Prostitution,Minderjähriger
336,Demokratie,indirekte Demokratie
337,Sport,wichtiger Teil Australiens
338,Kunst,Herausforderung
339,Religion,Weltanschauungssystem
340,Kunst,Rückkehr
341,Internet,Reihe vernetzter Internet Protokolle
342,Sport,wichtiger Zeitvertreib
343,Religion,Form der Zensur
344,Demokratie,Herrenvolk Demokratie
345,Technologie,private Branchenexperten
346,Impfstoff,toxoider Impfstoff
347,Medikament,Agonist des Androgen
348,Technologie,Bewegung
349,Sport,gemeinsame Aktivitäten
350,Kunst,pädagogisches Programm
351,Prostitution,weiterer grauer Bereich
352,Drogen,Verbrechen
353,Religion,Reihe
354,Kunst,Thema
355,Medikament,Arzneimittel
356,Prostitution,administrativer aber nicht strafrechtlicher Straftat
357,Demokratie,Tendenz
358,Atomwaffen,nukleare Sprengstoffe
359,Demokratie,Regierungssystem
360,Flüchtlinge,verdrängte Bevölkerungsgruppen
361,Globalisierung,Tatsache des Lebens
362,Drogen,Formen des Escapismus
363,Sport,Formen der körperlichen Aktivität
364,Religion,Pre Christen Friedenssysteme
365,Euthanasie,schwere Verbrechen
366,Internet,IKT
367,Klimawandel,so große Herausforderung
368,Abtreibung,Familienplanungsdienste
369,Prostitution,Manifestationen männlicher sexueller Macht
370,Impfstoff,Schuss
371,Smartphone,tragbares Gerät
372,Religion,gemeinsame theologische Haltung
373,Smartphone,Fußgänger
374,Rauchen,Zigarettenstumpf
375,Kapitalismus,Art
376,Abtreibung,vorläufige Schritte
377,Internet,weiteres wichtiges Thema
378,Medikament,strukturelles oder funktionelles Analoga einer kontrollierten Substanz
379,Steuer,Verschmutzungssteuer
380,Todesstrafe,lange ungenutzte Strafe
381,Globalisierung,soziale Kraft der wirtschaftlichen Globalisierung
382,Technologie,wertvolle Hilfe
383,Technologie,Produkte
384,Internet,Ressourcen
385,Rauchen,großer Risikofaktor
386,Drogen,Manipulationen
387,Klimawandel,globale Sicherheitsfragen
388,Globalisierung,Phase
389,Abtreibung,Verfahren
390,Religion,Religion
391,Demokratie,sozialen Organisation
392,Medikament,Noradrenalin Freisetzungsmittel
393,Globalisierung,wesentlicher Faktor
394,Rauchen,wichtiges präventives Instrument
395,soziale Medien,Online Ressourcen
396,Technologie,Teil des Bewusstseins
397,Steuer,obligatorische Finanzabgabe
398,Demokratie,System der demokratischen Regierungsführung
399,Prostitution,vorbestehendes Thema
400,Religion,Religionen
401,Todesstrafe,Faktor
402,Internet,Speicher und Forward Netzwerk
403,Religion,andere
404,Drogen,Schwarzmarktgüter
405,Internet,normaler Bestandteil des Lebens
406,Prostitution,Karriere Option
407,Demokratie,Werk der Art
408,Kapitalismus,Verfeinerung des Kapitalismus
409,Technologie,breites Konzept
410,Studentendarlehen,Darlehen
411,Medikament,Zubereitung
412,Sport,integraler Bestandteil des nationalen Lebens
413,DNA,leistungsfähiges Werkzeug
414,Technologie,Zeit der technologischen Entwicklung
415,DNA,sprachliche Eigenschaften dieser psychischen Phänomene
416,Prostitution,Hauptbestandteil der Sexbranche
417,Demokratie,System der Verarbeitung
418,Technologie,reife Quelle des Engagements
419,Gesundheitsversorgung,wichtiges Ziel
420,Demokratie,politisches Konzept
421,Fettleibigkeit,Faktoren
422,Religion,Zweig
423,Technologie,großer Teil
424,Abtreibung,Erweiterung
425,Internet,globales System
426,Gesundheitsversorgung,wichtiger Bestandteil der grundlegenden mütterlichen Gesundheitsversorgung
427,Klimawandel,Umweltfragen
428,Impfstoff,Beispiel
429,Demokratie,System demokratischer Staatsführung
430,Steuer,Feststeuer
431,Sport,wichtiger Teil der grünländischen Kultur
432,Internet,Netzwerke
433,Religion,Aktivitäten
434,Religion,sozial kulturelles System
435,Internet,internationales Netzwerk
436,Impfstoff,lebensgedämpfter Impfstoff
437,Gesundheitsversorgung,Schlüsselelement der Allgemeinen Erklärung
438,Religion,alte Religion
439,Prostitution,unsterbliche Aktivitäten
440,Technologie,Unterfeld der Philosophie
441,Technologie,Chance
442,Todesstrafe,Form der Strafe
443,Demokratie,gewaltige Kraft demokratischer Reformen
444,DNA,künstliche DNA Sequenz
445,Kapitalismus,Oxymoron
446,Religion,weiteres Thema
447,gleichgeschlechtliche Ehe,Dinge
448,Abtreibung,heikles Thema
449,Sport,Kombination
450,Demokratie,Modell der Demokratie
451,Demokratie,Form der Demokratie
452,Abtreibung,lebensbedrohliches Verfahren
453,Steuer,progressive Steuer
454,Internet,viel mehr ansprechendes Medium
455,Prostitution,Geldstrafe
456,Fettleibigkeit,gesundheitliche Probleme
457,Prostitution,gemeinsamer Diskurs
458,Abtreibung,Informationen
459,Demokratie,Mischung
460,Demokratie,strukturiertes Umfeld
461,Religion,kulturelle Ausdrucksformen
462,Steuer,wichtige Form der Finanzierung
463,Abtreibung,Erweiterung der Abtreibungsdebatte
464,Abtreibung,Angelegenheit der Menschenrechte
465,Demokratie,regierendes System
466,Impfstoff,Verzögerung
467,Religion,Zensur
468,Patriotismus,Patriotismus
469,Internet,Beispiel
470,Internet,ein extrem dezentralisiertes Netzwerk
471,Prostitution,Form der Prostitution
472,Globalisierung,Periode der Globalisierungsgeschichte
473,Impfstoff,Ebola Impfstoff
474,Internet,nützliches Instrument
475,Flüchtlinge,wesentlicher Vertrag
476,Steuer,Methode
477,Sport,Handlungen
478,Gesundheitsversorgung,integrierter Bestandteil des Gesundheitssystems
479,Heimschule,Minderungsanstrengungen
480,Kunst,Art
481,Kunst,offenes Feld
482,Medikament,nicht selektiver
483,Religion,Mischung
484,Prostitution,Formen des Geschlechts
485,Religion,Illusion
486,Kapitalismus,theoretisches Konzept
487,Religion,ethnische Religion
488,Religion,einheitliches System der Glaubens
489,Demokratie,liberale Demokratie
490,Medikament,Droge
491,Rauchen,wichtiger Risikofaktor
492,Drogen,Mitglieder der Internationalen Task
493,Rauchen,Risikofaktor
494,Gesundheitsversorgung,Gründe
495,Demokratie,Form der Selbstverteidigung
496,Technologie,wichtiges Instrument
497,Internet,künstlerische Felder
498,Todesstrafe,Strafe
499,Abtreibung,Methode
500,künstliche Intelligenz,Unfähigkeit
501,Demokratie,Regierung
502,Technologie,farb veränderter Film
503,Doping,weltweites Übel
504,Sport,langer Hemmschuh
505,Religion,Angelegenheiten der Meinung
506,Religion,wichtiger Teil des Mosuo
507,Demokratie,Reform repräsentativer oder direkter Demokratien
508,Klimawandel,schwere anhaltende und globale Bedrohung
509,Religion,universelle Botschaft
510,Steuer,Aufzeichnungen
511,Medikament,medizinische Subspezialität
512,Todesstrafe,harte Strafen
513,Medikament,Serotonin Freisetzungsmittel
514,Religion,Gegenstand der Debatte
515,Technologie,drahtlose kurze digitale Kommunikation
516,Drogen,städtische soziale Probleme
517,DNA,klassisches Beispiel
518,Technologie,Mittel
519,Rauchen,großes Problem
520,Technologie,Assay
521,Internet,Dienstleister
522,Religion,Essays
523,Prostitution,damit verbundene Aktivitäten
524,Technologie,Online Chat
525,Religion,Gläubigen
526,Abtreibung,Fortsetzung
527,Abtreibung,Verletzung des Zivil
528,Demokratie,politische Theorie
529,Medikament,Zutat
530,Studentendarlehen,Art
531,Abtreibung,Ergebnis der weit verbreiteten Unsterblichkeit
532,Steuer,Sonderfall einer Lenksteuer
533,Impfung,veterinärrechtliche Kontrollmethoden
534,soziale Medien,Webplattformen
535,Drogen,periphere Probleme
536,Steuer,Prozentsatz der steuerpflichtigen Löhne
537,Monopol,Formen der Marktherrschaft
538,Todesstrafe,internationale Allianz
539,Demokratie,friedlicher Übergang
540,Demokratie,Form sozialdemokratischer Arrangements
541,Globalisierung,Begriff
542,Atombombe,Atomwaffe
543,Kunst,gelehrte Gesellschaft
544,Religion,wesentlicher Bestandteil ihres kulturellen Lebens
545,Kunst,Begriff
546,Abtreibung,sicheres Verfahren
547,Technologie,Ganzes
548,Religion,Einfluss
549,Technologie,Unterfeld der Ethik
550,Technologie,Fertigungstechnik
551,Kunst,Bodegón
552,Impfstoff,Untereinheit Impfstoff
553,Demokratie,Art freiwilliger direkter Demokratie
554,Kapitalismus,politisches Modell
555,Prostitution,Formen der Sexarbeit
556,Internet,inhärenter Kanal
557,Religion,Mantar
558,Fettleibigkeit,Risikofaktor
559,Demokratie,politische Theorie
560,Internet,konzipiertes Computernetzwerk
561,Gesundheitsversorgung,Seltenheit
562,Religion,Gruppe
563,Gesundheitsversorgung,fortschreitende Fragen
564,Impfstoff,Grippe Impfstoff
565,Gesundheitsversorgung,wichtiger Bestandteil der Gesundheitssysteme
566,Religion,Fusion der traditionellen Religionspraktiken
567,Kunst,maßgeblicher Einfluss
568,Rauchen,wichtiger Faktor
569,Internet,beliebter Ort
570,Internet,MedienLenovo
571,Prostitution,Formen sexueller Aktivität
572,Sport,monatliche Sportmagazine
573,Kunst,Kategorie
574,DNA,idealer Proxy
575,Prostitution,Verbrechen
576,Technologie,Essays
577,Demokratie,politisches System
578,Klimawandel,soziale Kosten
579,Rauchen,wichtige Ursache
580,Monopol,Markt
581,Internet,Sammlung
582,Religion,wichtiger Aspekt der Identität
583,Prostitution,konzeptionelles und performatives Werk kritischer und biografischer Inhalte
584,Rauchen,wesentliche Ursache
585,Klimawandel,signifikante langfristige Veränderung des erwarteten Musters
586,Patriotismus,Ideologie
587,Kapitalismus,System der Ausbeutung
588,Steuer,gute Steuer
589,Abtreibung,medizinisches Phänomen der spontanen Abtreibung
590,Sport,Anwendungen
591,Flaschenwasser,Ausnahme
592,Steuer,Zwecke
593,Prostitution,Form der Sexarbeit
594,Kunst,vielfältige Palette
595,Kapitalismus,Effekt der Regierung
596,DNA,fremde DNA
597,Sport,soziale Aktivitäten
598,Prostitution,Transaktion
599,Internet,Arten
600,Prostitution,Aktivitäten
601,Klimawandel,Frage
602,Prostitution,Freizeiteinrichtungen
603,Kunst,zweidimensionales Objekt
604,Steuer,Wähler Registrierungsmaßnahmen
605,Kunst,Reader
606,DNA,Körperflüssigkeiten
607,Sport,körperliche Aktivität
608,Globalisierung,Kritik
609,Flüchtlinge,Obdachlose
610,Klimawandel,Feedback Prozess
611,Kunst,Kunstbewegungen
612,DNA,KoFaktoren
613,Medikament,Medikament
614,Religion,wichtiger Aspekt des sozialen Kapitals
615,Impfstoff,Impfstoff
616,Technologie,weitere von Oregons großen Wirtschaftskräften
617,Prostitution,Formen kommerzieller Sex
618,Religion,integraler Bestandteil des täglichen Lebens
619,Religion,weitere Methode
620,fossiler Brennstoff,Brennstoff
621,Demokratie,neuer Ansatz
622,Prostitution,Straftat
623,Medikament,Stoffe
624,Abtreibung,kontroverse politische Frage
625,Abtreibung,Ausübung dieses Rechts
626,Impfstoff,gestrichener
627,DNA,relativ starres Polymer
628,Kapitalismus,wirtschaftliches und soziales System
629,Religion,Angelegenheit
630,Kunst,Zeichen
631,Religion,Faktor
632,Fettleibigkeit,damit verbundene Krankheiten
633,Prostitution,Form
634,Technologie,enorme Menge
635,Kunst,renommierte Kunsthochschule
636,Medikament,chemische Substanz
637,Sport,wichtiges Ereignis
638,Kapitalismus,Ansatz
639,Internet,moderne Technologie
640,Medikament,North
641,Impfstoff,wirksames Instrument
642,Rauchen,Praxis
643,Impfung,wesentlicher Bestandteil
644,Klimawandel,bedeutende und dauerhafte Veränderung der statistischen Verteilung
645,Abtreibung,Thema
646,Fettleibigkeit,Antwort
647,Demokratie,Demokratie
648,Technologie,Reihe
649,Steuer,Quelle der Einnahmen
650,Smartphone,Motor
651,Steuer,einheitlicher Preis
652,Gesundheitsversorgung,Krankenschwester
653,Todesstrafe,gesetzliche Strafe
654,Kunst,schwierige Begriffsbestimmung
655,Prostitution,administrative aber nicht kriminelle Straftat
656,Religion,universal etabliertes Phänomen
657,Kunst,Tendenz
658,Internet,elektronische Formen des Spiels
659,gleichgeschlechtliche Ehe,verfassungsrechtliches Recht
660,Globalisierung,Fahrer
661,Sport,wesentlicher Bestandteil der bahamischen Kultur
662,Kapitalismus,Pyramide
663,Prostitution,zunehmend großer Teil der chinesischen Wirtschaft
664,Gesundheitswesen,unabhängige schwedische Regierungsstelle
665,Doping,sanktionierte Verhaltensweisen
666,Kunst,Kunstwerke
667,Internet,Systeme
668,DNA,gut entwickeltes Material
669,Monopol,wirtschaftliches Konzept
670,Monopol,Braunkohle
671,Impfstoff,Krebs Impfstoff
672,Kapitalismus,Wirtschaftssystem
673,Prostitution,sexuelle Ausbeutung
674,Religion,bona fide Religion
675,Klimawandel,drängende ökologische Krisen
676,Religion,Methode
677,Internet,weltweites Netzwerk
678,Religion,akutes Thema der Diskussion
679,Internet,integraler Bestandteil des modernen Lebens
680,Steuer,Vorschlag
681,Kunst,globale Tätigkeit
682,Kunst,menschliche Aktivität
683,Kunst,Einrichtungen
684,Kapitalismus,theoretisches System
685,Technologie,zusätzliche Funktion
686,Impfung,schwieriges politisches Problem
687,Prostitution,ernstes Problem
688,Technologie,Rechtsträger
689,Religion,wichtiger Bestandteil ihres täglichen Lebens
690,Internet,vereinfachtes Beispiel
691,Internet,Quelle ständiger Innovation
692,Internet,ähnliche Verbindung
693,Kapitalismus,gezielte Einbeziehung der Homosexuellen Gemeinschaft
694,Abtreibung,umstrittenes und divisives Thema
695,Steuer,Preiskontrolle
696,Gesundheitsversorgung,Elemente des Wohlfahrtsstaates
697,Fettleibigkeit,großer Risikofaktor
698,Prostitution,Geschenk
699,Klimawandel,eine globale Frage
700,Globalisierung,Prozess
701,Gesundheitsversorgung,Gesundheitsfinanzierung
702,Mindestlohn,Unternehmen
703,Religion,zentrales Thema
704,DNA,Duplex
705,Steuer,indirekte Steuer
706,Religion,monotheistisches Glaubenssystem
707,Prostitution,administratives Vergehen
708,Klimawandel,konvergierende Katastrophen
709,Demokratie,delegativen Demokratie
710,Technologie,webbasierte Kollaborationstools
711,Fettleibigkeit,Voraussetzung
712,Prostitution,Sexualarbeit
713,Sport,Formen der körperlichen Bewegung
714,Demokratie,universeller Wert
715,Globalisierung,Projekt
716,Fettleibigkeit,Symptom des Cushing
717,Demokratie,Betrug
718,Internet,Kraft
719,Kapitalismus,Konzept
720,Abtreibung,Sünde
721,Klimawandel,wichtiger Faktor
722,Demokratie,Gerichtsbarkeit
723,Flüchtlinge,umfassender und starrer Rechtskodex
724,Demokratie,Form der Regierung
725,Klimawandel,Beispiel
726,Steuer,Steuer
727,Sport,Programmierung
728,Kunst,begrenztes Thema
729,Religion,wichtiger und in vielen Fällen das zentrale Element des indischen Lebens
730,Religion,universelles Phänomen
731,Gesundheitsversorgung,Erfordernisse
732,Gesundheitsversorgung,Weg
733,Demokratie,System der demokratischen Regierung
734,Religion,Glaube
735,Prostitution,Sex Arbeit
736,Abtreibung,Frage der Zufriedenheit
737,Klimawandel,wichtige Ursache
738,Steuer,Graduierung
739,Kunst,weiterer Begriff
740,Religion,wichtiger Organisationsprinzip
741,Sommerferien,Schulreise
742,Gesundheitsversorgung,weiterer bestimmender Faktor
743,Rauchen,Indikatoren
744,Kunst,Theorie
745,Euthanasie,kontroverse Angelegenheit
746,Technologie,Methode
747,Impfstoff,personalisierter Impfstoff
748,Fettleibigkeit,Bedingung
749,DNA,Schlüssel